date_key,full_date,brand_key,market_key,units,revenue_eur,margin_eur,avg_price_eur,discount_rate,month_start_key
20240101,2024-01-01,1,1,191,14875.85,8627.99,78.0,0.066,20240101
20240101,2024-01-01,1,2,215,16754.01,9717.33,78.0,0.0581,20240101
20240101,2024-01-01,1,3,229,17844.92,10350.05,78.0,0.0853,20240101
20240101,2024-01-01,1,4,196,15296.07,8871.72,78.0,0.0724,20240101
20240101,2024-01-01,2,1,246,10338.58,5169.29,42.0,0.1121,20240101
20240101,2024-01-01,2,2,263,11050.86,5525.43,42.0,0.1171,20240101
20240101,2024-01-01,2,3,342,14347.5,7173.75,42.0,0.1305,20240101
20240101,2024-01-01,2,4,238,9997.26,4998.63,42.0,0.1182,20240101
20240101,2024-01-01,3,1,183,14259.36,8270.43,78.0,0.0841,20240101
20240101,2024-01-01,3,2,207,16123.74,9351.77,78.0,0.0557,20240101
20240101,2024-01-01,3,3,288,22461.71,13027.79,78.0,0.0619,20240101
20240101,2024-01-01,3,4,187,14587.56,8460.79,78.0,0.0759,20240101
20240101,2024-01-01,4,1,238,9997.53,4998.77,42.0,0.104,20240101
20240101,2024-01-01,4,2,267,11213.58,5606.79,42.0,0.1169,20240101
20240101,2024-01-01,4,3,355,14913.32,7456.66,42.0,0.1301,20240101
20240101,2024-01-01,4,4,220,9247.95,4623.97,42.0,0.1139,20240101
20240101,2024-01-01,5,1,198,15447.26,8959.41,78.0,0.0961,20240101
20240101,2024-01-01,5,2,217,16953.94,9833.28,78.0,0.0924,20240101
20240101,2024-01-01,5,3,275,21460.72,12447.22,78.0,0.0699,20240101
20240101,2024-01-01,5,4,183,14250.48,8265.28,78.0,0.0999,20240101
20240101,2024-01-01,6,1,257,6170.27,2591.51,24.0,0.1977,20240101
20240101,2024-01-01,6,2,281,6754.27,2836.79,24.0,0.1991,20240101
20240101,2024-01-01,6,3,434,10410.05,4372.22,24.0,0.1404,20240101
20240101,2024-01-01,6,4,275,6597.1,2770.78,24.0,0.2047,20240101
20240101,2024-01-01,7,1,180,14006.58,8123.81,78.0,0.0829,20240101
20240101,2024-01-01,7,2,220,17154.67,9949.71,78.0,0.0389,20240101
20240101,2024-01-01,7,3,259,20231.85,11734.47,78.0,0.0854,20240101
20240101,2024-01-01,7,4,170,13284.36,7704.93,78.0,0.094,20240101
20240101,2024-01-01,8,1,239,5737.1,2409.58,24.0,0.1798,20240101
20240101,2024-01-01,8,2,280,6715.96,2820.7,24.0,0.1931,20240101
20240101,2024-01-01,8,3,337,8081.15,3394.08,24.0,0.1797,20240101
20240101,2024-01-01,8,4,246,5902.28,2478.96,24.0,0.1901,20240101
20240102,2024-01-02,1,1,178,13858.85,8038.13,78.0,0.0971,20240101
20240102,2024-01-02,1,2,209,16297.81,9452.73,78.0,0.0876,20240101
20240102,2024-01-02,1,3,282,21989.71,12754.03,78.0,0.0725,20240101
20240102,2024-01-02,1,4,199,15496.72,8988.09,78.0,0.0891,20240101
20240102,2024-01-02,2,1,218,9166.64,4583.32,42.0,0.1103,20240101
20240102,2024-01-02,2,2,293,12296.63,6148.32,42.0,0.12,20240101
20240102,2024-01-02,2,3,328,13775.39,6887.69,42.0,0.1382,20240101
20240102,2024-01-02,2,4,239,10037.0,5018.5,42.0,0.1236,20240101
20240102,2024-01-02,3,1,169,13175.49,7641.79,78.0,0.0552,20240101
20240102,2024-01-02,3,2,212,16543.05,9594.97,78.0,0.0595,20240101
20240102,2024-01-02,3,3,269,21012.77,12187.41,78.0,0.0886,20240101
20240102,2024-01-02,3,4,194,15097.53,8756.57,78.0,0.0617,20240101
20240102,2024-01-02,4,1,272,11413.69,5706.84,42.0,0.0997,20240101
20240102,2024-01-02,4,2,274,11511.58,5755.79,42.0,0.1193,20240101
20240102,2024-01-02,4,3,322,13507.7,6753.85,42.0,0.1031,20240101
20240102,2024-01-02,4,4,247,10375.59,5187.8,42.0,0.1277,20240101
20240102,2024-01-02,5,1,209,16268.32,9435.62,78.0,0.0921,20240101
20240102,2024-01-02,5,2,200,15606.06,9051.52,78.0,0.0951,20240101
20240102,2024-01-02,5,3,242,18912.34,10969.16,78.0,0.0774,20240101
20240102,2024-01-02,5,4,206,16051.2,9309.7,78.0,0.0619,20240101
20240102,2024-01-02,6,1,261,6258.92,2628.75,24.0,0.1847,20240101
20240102,2024-01-02,6,2,282,6763.27,2840.58,24.0,0.1788,20240101
20240102,2024-01-02,6,3,390,9369.26,3935.09,24.0,0.1937,20240101
20240102,2024-01-02,6,4,248,5941.94,2495.62,24.0,0.1732,20240101
20240102,2024-01-02,7,1,197,15345.78,8900.55,78.0,0.0691,20240101
20240102,2024-01-02,7,2,219,17096.8,9916.15,78.0,0.0681,20240101
20240102,2024-01-02,7,3,268,20895.36,12119.31,78.0,0.0627,20240101
20240102,2024-01-02,7,4,193,15049.8,8728.88,78.0,0.0906,20240101
20240102,2024-01-02,8,1,256,6132.37,2575.6,24.0,0.1894,20240101
20240102,2024-01-02,8,2,315,7549.18,3170.66,24.0,0.1736,20240101
20240102,2024-01-02,8,3,366,8790.73,3692.11,24.0,0.1905,20240101
20240102,2024-01-02,8,4,235,5636.25,2367.22,24.0,0.1778,20240101
20240103,2024-01-03,1,1,216,16810.75,9750.24,78.0,0.1001,20240101
20240103,2024-01-03,1,2,214,16700.1,9686.06,78.0,0.0826,20240101
20240103,2024-01-03,1,3,243,18922.94,10975.3,78.0,0.0731,20240101
20240103,2024-01-03,1,4,197,15399.55,8931.74,78.0,0.0979,20240101
20240103,2024-01-03,2,1,233,9777.01,4888.5,42.0,0.1332,20240101
20240103,2024-01-03,2,2,297,12485.09,6242.54,42.0,0.0974,20240101
20240103,2024-01-03,2,3,330,13843.53,6921.76,42.0,0.1233,20240101
20240103,2024-01-03,2,4,241,10117.85,5058.92,42.0,0.1285,20240101
20240103,2024-01-03,3,1,198,15426.97,8947.64,78.0,0.094,20240101
20240103,2024-01-03,3,2,224,17468.21,10131.56,78.0,0.0962,20240101
20240103,2024-01-03,3,3,255,19918.91,11552.97,78.0,0.099,20240101
20240103,2024-01-03,3,4,184,14326.35,8309.28,78.0,0.0825,20240101
20240103,2024-01-03,4,1,243,10191.41,5095.71,42.0,0.1166,20240101
20240103,2024-01-03,4,2,284,11915.15,5957.57,42.0,0.0962,20240101
20240103,2024-01-03,4,3,301,12625.31,6312.65,42.0,0.1145,20240101
20240103,2024-01-03,4,4,236,9907.28,4953.64,42.0,0.1538,20240101
20240103,2024-01-03,5,1,199,15493.22,8986.07,78.0,0.0697,20240101
20240103,2024-01-03,5,2,235,18323.22,10627.47,78.0,0.0537,20240101
20240103,2024-01-03,5,3,272,21240.99,12319.77,78.0,0.0927,20240101
20240103,2024-01-03,5,4,189,14760.85,8561.3,78.0,0.1107,20240101
20240103,2024-01-03,6,1,259,6219.51,2612.2,24.0,0.1872,20240101
20240103,2024-01-03,6,2,288,6923.11,2907.71,24.0,0.1632,20240101
20240103,2024-01-03,6,3,341,8192.35,3440.79,24.0,0.1772,20240101
20240103,2024-01-03,6,4,274,6579.42,2763.36,24.0,0.1805,20240101
20240103,2024-01-03,7,1,194,15145.49,8784.38,78.0,0.0984,20240101
20240103,2024-01-03,7,2,238,18565.12,10767.77,78.0,0.0825,20240101
20240103,2024-01-03,7,3,281,21950.19,12731.11,78.0,0.0865,20240101
20240103,2024-01-03,7,4,197,15391.78,8927.23,78.0,0.0758,20240101
20240103,2024-01-03,8,1,276,6616.23,2778.82,24.0,0.1614,20240101
20240103,2024-01-03,8,2,311,7468.92,3136.95,24.0,0.1541,20240101
20240103,2024-01-03,8,3,322,7716.29,3240.84,24.0,0.1689,20240101
20240103,2024-01-03,8,4,277,6637.68,2787.83,24.0,0.1648,20240101
